"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Identify unassigned departments using LEFT JOIN.","2","test_verify_unassigned_department_left_join","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"Ensures that the sorting UI is functional for 'Price Low to High'.","0","test_should_sort_products_by_price_low_to_high[chromium]","tests","2026-09-06","broken","2026-09-06","TestPurchaseFlow","test_purchase","",""
"","1","test_complex_join_with_sorting","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"","1","test_get_max_employee_id","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"Verifies that a post can be deleted from the system.","80","test_delete_and_verify","tests","2026-09-06","passed","2026-09-06","TestAPI","test_api","",""
"Fetches a single post and validates the JSON schema fields.","441","test_get_single_post_and_validate_schema","tests","2026-09-06","passed","2026-09-06","TestAPI","test_api","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium-non_existent_user-secret_sauce-do not match]","tests","2026-09-06","broken","2026-09-06","TestLoginNegative","test_login_negative","",""
"Verifies that a specific product can be added to the shopping cart successfully.","0","test_should_add_backpack_to_cart[chromium]","tests","2026-09-06","broken","2026-09-06","TestPurchaseFlow","test_purchase","",""
"","1","test_verify_empty_table_initially","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"Verify INNER JOIN between employees and departments.","2","test_verify_employee_join","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"","2","test_verify_employee_count_by_group","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium-standard_user-wrong_password-do not match]","tests","2026-09-06","broken","2026-09-06","TestLoginNegative","test_login_negative","",""
"Complete checkout flow starting from login to the success message confirmation.","0","test_complete_purchase_e2e[chromium]","tests","2026-09-06","broken","2026-09-06","TestPurchaseFlow","test_purchase","",""
"Validates the mathematical correctness of price sorting from Low to High.","0","test_price_sorting_logic[chromium]","tests","2026-09-06","broken","2026-09-06","TestPurchaseFlow","test_purchase","",""
"","108","Patch Post Title: Updated Title 1","tests","2026-09-06","passed","2026-09-06","TestAPI","test_api","",""
"","2","test_verify_unique_employee_id_constraint","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium---Username is required]","tests","2026-09-06","broken","2026-09-06","TestLoginNegative","test_login_negative","",""
"","1","test_search_employee_by_name_pattern","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"","2","test_verify_subquery_filtering","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"","2","test_verify_multiple_employees_in_dept","tests","2026-09-06","passed","2026-09-06","TestDatabase","test_database","",""
"","649","Patch Post Title: Elite Test Update","tests","2026-09-06","passed","2026-09-06","TestAPI","test_api","",""
"","0","test_elite_login_check[chromium]","tests","2026-09-06","broken","2026-09-06","","test_login","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium-locked_out_user-secret_sauce-locked out]","tests","2026-09-06","broken","2026-09-06","TestLoginNegative","test_login_negative","",""
